Product_name,Ratings,Reviews,stars,MRP,Processor,RAM,Storage,Image_URL
ASUS VivoBook 15 (2022) Core i5 10th Gen,70,6,4.1,₹62990,Intel Core i5 Processor (10th Gen),8 GB DDR4 RAM,512 GB SSD,https://rukminim2.flixcart.com/image/312/312/kp2y2kw0/computer/y/0/c/na-thin-and-light-laptop-asus-original-imag3ebnzawky4kn.jpeg?q=70
HP Ryzen 5 Hexa Core 5500U,392,54,4.4,₹57042,AMD Ryzen 5 Hexa Core Processor,8 GB DDR4 RAM,512 GB SSD,https://rukminim2.flixcart.com/image/312/312/l2rwzgw0/computer/m/k/o/-original-imagefmhxu9rmfjq.jpeg?q=70
ASUS VivoBook 14 (2022) Core i5 11th Gen,111,8,4.2,₹72990,Intel Core i5 Processor (11th Gen),8 GB DDR4 RAM,1 TB HDD|256 GB SSD,https://rukminim2.flixcart.com/image/312/312/l2m78280/computer/z/e/f/-original-imagdx9szs8xz2rk.jpeg?q=70
Lenovo Legion 5 Ryzen 5 Hexa Core 4600H,316,32,4.5,₹93690,AMD Ryzen 5 Hexa Core Processor,8 GB DDR4 RAM,1 TB HDD|256 GB SSD,https://rukminim2.flixcart.com/image/312/312/kk76wsw0/computer/h/j/o/lenovo-original-imafzhsyzryckmew.jpeg?q=70
ASUS VivoBook 15 (2021) Core i5 10th Gen,0,0,0,₹64990,Intel Core i5 Processor (10th Gen),8 GB DDR4 RAM,512 GB SSD,https://rukminim2.flixcart.com/image/312/312/kp2y2kw0/computer/y/0/c/na-thin-and-light-laptop-asus-original-imag3ebnzawky4kn.jpeg?q=70
Lenovo IdeaPad 3 Ryzen 5 Hexa Core 5500U,378,46,4.3,₹68490,AMD Ryzen 5 Hexa Core Processor,8 GB DDR4 RAM,512 GB SSD,https://rukminim2.flixcart.com/image/312/312/keaaavk0/computer/x/m/y/lenovo-na-laptop-original-imafuzt8r5jqppfn.jpeg?q=70
HP Core i3 11th Gen,37,4,4.5,₹52900,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,512 GB SSD,https://rukminim2.flixcart.com/image/312/312/l0zm64w0/computer/k/h/m/14s-dq2606tu-thin-and-light-laptop-hp-original-imagcnsfnrzvzbs6.jpeg?q=70
MSI Stealth 15M Core i7 11th Gen,24,4,4.3,₹162990,Intel Core i7 Processor (11th Gen),16 GB DDR4 RAM,1 TB SSD,https://rukminim2.flixcart.com/image/312/312/ko7idu80/computer/i/h/u/stealth-15m-a11uek-227in-notebook-msi-original-imag2q57shrhyszs.jpeg?q=70
HP Core i3 11th Gen,126,15,4.1,₹51506,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,512 GB SSD,https://rukminim2.flixcart.com/image/312/312/kzrbiq80/computer/v/d/d/15s-fq2626tu-thin-and-light-laptop-hp-original-imagbpb2sztfprgz.jpeg?q=70
Lenovo IdeaPad 3 Core i5 10th Gen,186,17,4.1,₹64290,Intel Core i5 Processor (10th Gen),8 GB DDR4 RAM,512 GB SSD,https://rukminim2.flixcart.com/image/312/312/keaaavk0/computer/x/m/y/lenovo-na-laptop-original-imafuzt8r5jqppfn.jpeg?q=70
Lenovo Ideapad AMD Ryzen 5 Hexa Core 5500U,11,4,4.8,₹68490,AMD Ryzen 5 Hexa Core Processor,8 GB DDR4 RAM,512 GB SSD,https://rukminim2.flixcart.com/image/312/312/kxuqdu80/computer/o/u/j/lenovo-core-i5-laptop-lenovo-original-imaga7u8ehmnfggx.jpeg?q=70
acer Aspire 7 Core i5 10th Gen,11852,1287,4.4,₹89999,Free upgrade to Windows 11 when available,Intel Core i5 Processor (10th Gen),64 bit Windows 10 Operating System,https://rukminim2.flixcart.com/image/312/312/kp1imq80/computer/u/b/z/na-gaming-laptop-acer-original-imag3d63hk3h8nm2.jpeg?q=70
HP Ryzen 5 Hexa Core 5500U,138,16,4.4,₹60959,AMD Ryzen 5 Hexa Core Processor,8 GB DDR4 RAM,512 GB SSD,https://rukminim2.flixcart.com/image/312/312/kzrbiq80/computer/q/w/v/15s-eq2144au-thin-and-light-laptop-hp-original-imagbpb2qzqx6knt.jpeg?q=70
ASUS VivoBook K15 OLED (2022) Core i3 11th Gen,935,171,4.5,₹58990,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,256 GB SSD,https://rukminim2.flixcart.com/image/312/312/l2dmky80/computer/l/c/g/-original-imagdqdyewdfx452.jpeg?q=70
HP 15s Ryzen 3 Dual Core 3250U,3649,444,4.3,₹48294,AMD Ryzen 3 Dual Core Processor,8 GB DDR4 RAM,1 TB HDD|256 GB SSD,https://rukminim2.flixcart.com/image/312/312/kk2wl8w0/computer/z/u/5/hp-original-imafzgdgcbtxvjka.jpeg?q=70
MSI GF63 Thin Hexa Core i5 10th Gen,2809,292,4.4,₹76990,Intel Hexa Core i5 Processor (10th Gen),8 GB DDR4 RAM,1 TB HDD|256 GB SSD,https://rukminim2.flixcart.com/image/312/312/ko7idu80/computer/x/l/i/gf63-thin-10scxr-1616in-notebook-msi-original-imag2q55h6w2avfr.jpeg?q=70
acer Aspire 5 Core i5 11th Gen,30,3,4.1,₹64999,Intel Core i5 Processor (11th Gen),8 GB DDR4 RAM,512 GB SSD,https://rukminim2.flixcart.com/image/312/312/kybvo280/computer/6/u/v/-original-imagah7xakzzergf.jpeg?q=70
HP Core i3 11th Gen,1046,99,4.3,₹49590,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,512 GB SSD,https://rukminim2.flixcart.com/image/312/312/kyt0ya80/computer/s/z/b/-original-imagayc6ahrmg8y7.jpeg?q=70
DELL Inspiron Core i3 11th Gen,107,12,4.4,₹68658,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,256 GB SSD,https://rukminim2.flixcart.com/image/312/312/kod858w0/computer/a/a/i/na-2-in-1-laptop-dell-original-imag2ueajx2uhvcg.jpeg?q=70
acer Predator Helios 300 Octa Core i7 10th Gen,1377,192,4.5,₹149999,Free upgrade to Windows 11 when available,Intel Octa Core i7 Processor (10th Gen),64 bit Windows 10 Operating System,https://rukminim2.flixcart.com/image/312/312/kuvkcy80/computer/x/s/4/na-gaming-laptop-acer-original-imag7whp2f8fgpaz.jpeg?q=70
MSI Core i3 10th Gen,116,20,4.5,₹53990,Intel Core i3 Processor (10th Gen),8 GB DDR4 RAM,256 GB SSD,https://rukminim2.flixcart.com/image/312/312/kuef2q80/computer/d/a/o/modern-14-b10mw-thin-and-light-laptop-msi-original-imag7jcak5zvgxaa.jpeg?q=70
RedmiBook Pro Core i5 11th Gen,1849,254,4.2,₹59990,Intel Core i5 Processor (11th Gen),8 GB DDR4 RAM,512 GB SSD,https://rukminim2.flixcart.com/image/312/312/kuwzssw0/computer/x/l/a/redmibook-15-pro-thin-and-light-laptop-redmi-original-imag7xhnakyazyma.jpeg?q=70
Lenovo IdeaPad Core i5 10th Gen,10,0,4.4,₹79690,Intel Core i5 Processor (10th Gen),8 GB DDR4 RAM,512 GB SSD,https://rukminim2.flixcart.com/image/312/312/keaaavk0/computer/x/m/y/lenovo-na-laptop-original-imafuzt8r5jqppfn.jpeg?q=70
Lenovo IdeaPad Gaming Core i7 10th Gen,52,2,4.5,₹99290,Intel Core i7 Processor (10th Gen),8 GB DDR4 RAM,512 GB SSD,https://rukminim2.flixcart.com/image/312/312/kp2y2kw0/computer/3/q/k/lenovo-original-imag3eht25nykhjn.jpeg?q=70
